Id,Name,Brand,Year,Type
1,Falcon X1,Apex,2018,Sedan
2,Storm GT,Velocity,2019,SUV
3,Titan Pro,Nova,2020,Truck
4,Urban Lite,Metro,2021,Hatchback
5,RoadMaster,Pioneer,2017,Sedan
6,Skyline Z,Apex,2022,Coupe
7,Ranger One,Frontier,2016,Truck
8,Comet S,Velocity,2023,Sedan
9,Terra Max,Nova,2020,SUV
10,Echo Plus,Metro,2021,Hatchback
11,Model 11,Pioneer,2016,Coupe
12,Model 12,Frontier,2017,Van
13,Model 13,Apex,2018,Sedan
14,Model 14,Velocity,2019,SUV
15,Model 15,Nova,2020,Truck
16,Model 16,Metro,2021,Hatchback
17,Model 17,Pioneer,2022,Coupe
18,Model 18,Frontier,2023,Van
19,Model 19,Apex,2024,Sedan
20,Model 20,Velocity,2025,SUV
21,Model 21,Nova,2016,Truck
22,Model 22,Metro,2017,Hatchback
23,Model 23,Pioneer,2018,Coupe
24,Model 24,Frontier,2019,Van
25,Model 25,Apex,2020,Sedan
26,Model 26,Velocity,2021,SUV
27,Model 27,Nova,2022,Truck
28,Model 28,Metro,2023,Hatchback
29,Model 29,Pioneer,2024,Coupe
30,Model 30,Frontier,2025,Van
31,Model 31,Apex,2016,Sedan
32,Model 32,Velocity,2017,SUV
33,Model 33,Nova,2018,Truck
34,Model 34,Metro,2019,Hatchback
35,Model 35,Pioneer,2020,Coupe
36,Model 36,Frontier,2021,Van
37,Model 37,Apex,2022,Sedan
38,Model 38,Velocity,2023,SUV
39,Model 39,Nova,2024,Truck
40,Model 40,Metro,2025,Hatchback
41,Model 41,Pioneer,2016,Coupe
42,Model 42,Frontier,2017,Van
43,Model 43,Apex,2018,Sedan
44,Model 44,Velocity,2019,SUV
45,Model 45,Nova,2020,Truck
46,Model 46,Metro,2021,Hatchback
47,Model 47,Pioneer,2022,Coupe
48,Model 48,Frontier,2023,Van
49,Model 49,Apex,2024,Sedan
50,Model 50,Velocity,2025,SUV
Id,Name,Brand,Year,Type
51,Mustang GT,Ford,2022,Coupe
52,Civic Touring,Honda,2021,Sedan
53,Corolla Cross,Toyota,2023,SUV
54,Camaro SS,Chevrolet,2020,Coupe
55,Ranger XLT,Ford,2022,Truck
56,Compass Limited,Jeep,2021,SUV
57,HB20 Platinum,Hyundai,2024,Hatchback
58,Onix Premier,Chevrolet,2023,Hatchback
59,Tiguan R-Line,Volkswagen,2022,SUV
60,320i Sport,BMW,2021,Sedan
