Id,Name,Brand,Year,Type
12,Mustang GT,Ford,2022,Coupe
16,911 Turbo S,Porsche,2025,Sport
17,Mustang GT,Ford,2024,Muscle
18,Camaro SS,Chevrolet,2024,Muscle
19,Civic Type R,Honda,2025,Hatchback
20,Corolla Cross,Toyota,2025,SUV
21,Model 3 Performance,Tesla,2025,Electric
22,X5 M Competition,BMW,2026,SUV
23,A45 S AMG,Mercedes-Benz,2025,Hatchback
24,RS6 Avant,Audi,2025,Wagon
25,Range Rover Sport,Land Rover,2026,SUV
26,Wrangler Rubicon,Jeep,2025,Off-Road
27,Golf GTI,Volkswagen,2024,Hatchback
28,CX-5,Mazda,2025,SUV
29,Altima SR,Nissan,2025,Sedan
30,Charger Scat Pack,Dodge,2023,Muscle
